t;x;v
4.9400;0.322750677979;-0.374807043149
4.9500;0.319002607547;-0.380887249665
4.9600;0.315193735051;-0.386886414567
4.9700;0.311324870905;-0.392803402853
4.9800;0.307396836877;-0.398637096868
4.9900;0.303410465908;-0.404386396509
5.0000;0.299366601943;-0.410050219431
5.0100;0.295266099748;-0.415627501250
5.0200;0.291109824736;-0.421117195744
5.0300;0.286898652779;-0.426518275043
5.0400;0.282633470028;-0.431829729823
5.0500;0.278315172730;-0.437050569494
5.0600;0.273944667035;-0.442179822379
5.0700;0.269522868811;-0.447216535898
5.0800;0.265050703452;-0.452159776738
5.0900;0.260529105685;-0.457008631030
5.1000;0.255959019374;-0.461762204513
5.1100;0.251341397329;-0.466419622696
5.1200;0.246677201102;-0.470980031020
5.1300;0.241967400792;-0.475442595011
5.1400;0.237212974842;-0.479806500432
5.1500;0.232414909838;-0.484070953428
5.1600;0.227574200303;-0.488235180671
5.1700;0.222691848497;-0.492298429497
5.1800;0.217768864202;-0.496259968037
5.1900;0.212806264521;-0.500119085353
5.2000;0.207805073668;-0.503875091558
5.2100;0.202766322752;-0.507527317940
5.2200;0.197691049573;-0.511075117077
5.2300;0.192580298402;-0.514517862952
5.2400;0.187435119773;-0.517854951057
5.2500;0.182256570262;-0.521085798501
5.2600;0.177045712277;-0.524209844108
5.2700;0.171803613836;-0.527226548509
5.2800;0.166531348351;-0.530135394237
5.2900;0.161229994409;-0.532935885810
5.3000;0.155900635550;-0.535627549813
5.3100;0.150544360052;-0.538209934974
5.3200;0.145162260703;-0.540682612240
5.3300;0.139755434580;-0.543045174842
5.3400;0.134324982832;-0.545297238358
5.3500;0.128872010448;-0.547438440777
5.3600;0.123397626040;-0.549468442545
5.3700;0.117902941615;-0.551386926623
5.3800;0.112389072349;-0.553193598529
5.3900;0.106857136363;-0.554888186377
5.4000;0.101308254500;-0.556470440918
5.4100;0.095743550090;-0.557940135567
5.4200;0.090164148735;-0.559297066433
5.4300;0.084571178070;-0.560541052342
5.4400;0.078965767547;-0.561671934851
5.4500;0.073349048199;-0.562689578267
5.4600;0.067722152416;-0.563593869653
5.4700;0.062086213719;-0.564384718831
5.4800;0.056442366531;-0.565062058387
5.4900;0.050791745947;-0.565625843659
5.5000;0.045135487511;-0.566076052734
5.5100;0.039474726983;-0.566412686432
5.5200;0.033810600119;-0.566635768285
5.5300;0.028144242436;-0.566745344519
5.5400;0.022476788991;-0.566741484023
5.5500;0.016809374151;-0.566624278319
5.5600;0.011143131367;-0.566393841524
5.5700;0.005479192952;-0.566050310310
5.5800;-0.000181310151;-0.565593843858
5.5900;-0.005837248589;-0.565024623811
5.6000;-0.011487494828;-0.564342854216
5.6100;-0.017130923370;-0.563548761465
5.6200;-0.022766410984;-0.562642594236
5.6300;-0.028392836927;-0.561624623422
5.6400;-0.034009083161;-0.560495142060
5.6500;-0.039614034582;-0.559254465255
5.6600;-0.045206579234;-0.557902930098
5.6700;-0.050785608535;-0.556440895583
5.6800;-0.056350017491;-0.554868742517
5.6900;-0.061898704916;-0.553186873425
5.7000;-0.067430573650;-0.551395712453
5.7100;-0.072944530775;-0.549495705268
5.7200;-0.078439487828;-0.547487318947
5.7300;-0.083914361017;-0.545371041871
5.7400;-0.089368071436;-0.543147383609
5.7500;-0.094799545272;-0.540816874797
5.7600;-0.100207714020;-0.538380067017
5.7700;-0.105591514690;-0.535837532669
5.7800;-0.110949890017;-0.533189864843
